,var,Ut01,NBC_Acc,ACRA_Acc,NB_Acc,NBC_AvgUt,ACRA_AvgUt,NB_AvgUt,NBC_FPR,ACRA_FPR,NB_FPR,NBC_FNR,ACRA_FNR,NB_FNR
0,1.0,-10.0,0.8840139009556907,0.895047784535187,0.7204170286707212,0.5201563857515203,0.6329278887923546,0.1929626411815812,0.04566392977494939,0.02905401605757001,0.04566392977494939,0.22307585740790242,0.220627368761741,0.6404178686299615
1,1.0,-5.0,0.888010425716768,0.8957428323197221,0.7246741963509991,0.6536924413553432,0.7080799304952216,0.3270199826238054,0.05066517724090612,0.03463106177245788,0.05066517724090612,0.205373526384591,0.21032395581209493,0.6220357345227154
2,1.0,-1.0,0.8898349261511729,0.8968722849695918,0.7238053866203301,0.7796698523023458,0.7937445699391834,0.4476107732406603,0.06547344086161942,0.04831948562018666,0.06547344086161942,0.17819715849701603,0.1866201403668201,0.6015707310756297
3,1.0,0.0,0.8898349261511729,0.8968722849695918,0.7238053866203301,0.8898349261511729,0.8968722849695918,0.7238053866203301,0.06547344086161942,0.04831948562018666,0.06547344086161942,0.17819715849701603,0.1866201403668201,0.6015707310756297
4,10.0,-10.0,0.8840139009556907,0.8949609035621201,0.7204170286707212,0.5201563857515203,0.6366637706342312,0.1929626411815812,0.04566392977494939,0.02831560848975395,0.04566392977494939,0.22307585740790242,0.22193841488876007,0.6404178686299615
5,10.0,-5.0,0.888010425716768,0.8961772371850565,0.7246741963509991,0.6536924413553432,0.711033883579496,0.3270199826238054,0.05066517724090612,0.03374960751108867,0.05066517724090612,0.205373526384591,0.21054596825738908,0.6220357345227154
6,10.0,-1.0,0.8898349261511729,0.8966116420503909,0.7238053866203301,0.7796698523023458,0.7932232841007819,0.4476107732406603,0.06547344086161942,0.04803345935212251,0.06547344086161942,0.17819715849701603,0.18766299555842197,0.6015707310756297
7,10.0,0.0,0.8898349261511729,0.8966116420503909,0.7238053866203301,0.8898349261511729,0.8966116420503909,0.7238053866203301,0.06547344086161942,0.04803345935212251,0.06547344086161942,0.17819715849701603,0.18766299555842197,0.6015707310756297
8,20.0,-10.0,0.8840139009556907,0.8940920938314509,0.7204170286707212,0.5201563857515203,0.6278887923544744,0.1929626411815812,0.04566392977494939,0.029630650428283316,0.04566392977494939,0.22307585740790242,0.2221296384943628,0.6404178686299615
9,20.0,-5.0,0.888010425716768,0.8956559513466551,0.7246741963509991,0.6536924413553432,0.7075586446568202,0.3270199826238054,0.05066517724090612,0.03478479806876207,0.05066517724090612,0.205373526384591,0.21032158452444533,0.6220357345227154
10,20.0,-1.0,0.8898349261511729,0.8954821894005214,0.7238053866203301,0.7796698523023458,0.7909643788010425,0.4476107732406603,0.06547344086161942,0.049171616307218474,0.06547344086161942,0.17819715849701603,0.1887917212831654,0.6015707310756297
11,20.0,0.0,0.8898349261511729,0.8954821894005214,0.7238053866203301,0.8898349261511729,0.8954821894005214,0.7238053866203301,0.06547344086161942,0.049171616307218474,0.06547344086161942,0.17819715849701603,0.1887917212831654,0.6015707310756297
12,30.0,-10.0,0.8840139009556907,0.8938314509122505,0.7204170286707212,0.5201563857515203,0.627367506516073,0.1929626411815812,0.04566392977494939,0.0296172861902822,0.04566392977494939,0.22307585740790242,0.22280171060293572,0.6404178686299615
13,30.0,-5.0,0.888010425716768,0.8956559513466551,0.7246741963509991,0.6536924413553432,0.706863596872285,0.3270199826238054,0.05066517724090612,0.03505276604020289,0.05066517724090612,0.205373526384591,0.20987824513314807,0.6220357345227154
14,30.0,-1.0,0.8898349261511729,0.8953084274543872,0.7238053866203301,0.7796698523023458,0.790616854908775,0.4476107732406603,0.06547344086161942,0.05047595212232736,0.06547344086161942,0.17819715849701603,0.18724470455390213,0.6015707310756297
15,30.0,0.0,0.8898349261511729,0.8953084274543872,0.7238053866203301,0.8898349261511729,0.8953084274543872,0.7238053866203301,0.06547344086161942,0.05047595212232736,0.06547344086161942,0.17819715849701603,0.18724470455390213,0.6015707310756297
16,40.0,-10.0,0.8840139009556907,0.8937445699391832,0.7204170286707212,0.5201563857515203,0.625629887054735,0.1929626411815812,0.04566392977494939,0.029916251469687904,0.04566392977494939,0.22307585740790242,0.22258252778729837,0.6404178686299615
17,40.0,-5.0,0.888010425716768,0.8953084274543874,0.7246741963509991,0.6536924413553432,0.7065160729800174,0.3270199826238054,0.05066517724090612,0.03492597997628041,0.05066517724090612,0.205373526384591,0.21097201940595559,0.6220357345227154
18,40.0,-1.0,0.8898349261511729,0.8950477845351867,0.7238053866203301,0.7796698523023458,0.7900955690703737,0.4476107732406603,0.06547344086161942,0.05106407671743725,0.06547344086161942,0.17819715849701603,0.18699853039701683,0.6015707310756297
19,40.0,0.0,0.8898349261511729,0.8950477845351867,0.7238053866203301,0.8898349261511729,0.8950477845351867,0.7238053866203301,0.06547344086161942,0.05106407671743725,0.06547344086161942,0.17819715849701603,0.18699853039701683,0.6015707310756297
20,50.0,-10.0,0.8840139009556907,0.8934839270199826,0.7204170286707212,0.5201563857515203,0.6235447437011296,0.1929626411815812,0.04566392977494939,0.030197737659363077,0.04566392977494939,0.22307585740790242,0.22277351323478628,0.6404178686299615
21,50.0,-5.0,0.888010425716768,0.8944396177237186,0.7246741963509991,0.6536924413553432,0.7016507384882711,0.3270199826238054,0.05066517724090612,0.036228362480216804,0.05066517724090612,0.205373526384591,0.21121163551097127,0.6220357345227154
22,50.0,-1.0,0.8898349261511729,0.8946133796698522,0.7238053866203301,0.7796698523023458,0.7892267593397047,0.4476107732406603,0.06547344086161942,0.05179457108696848,0.06547344086161942,0.17819715849701603,0.18702275190984866,0.6015707310756297
23,50.0,0.0,0.8898349261511729,0.8946133796698522,0.7238053866203301,0.8898349261511729,0.8946133796698522,0.7238053866203301,0.06547344086161942,0.05179457108696848,0.06547344086161942,0.17819715849701603,0.18702275190984866,0.6015707310756297
24,60.0,-10.0,0.8840139009556907,0.8936576889661165,0.7204170286707212,0.5201563857515203,0.6254561251086013,0.1929626411815812,0.04566392977494939,0.029885505759089735,0.04566392977494939,0.22307585740790242,0.22280345669604884,0.6404178686299615
25,60.0,-5.0,0.888010425716768,0.8939183318853171,0.7246741963509991,0.6536924413553432,0.7013032145960035,0.3270199826238054,0.05066517724090612,0.035918388933091926,0.05066517724090612,0.205373526384591,0.21294499534111105,0.6220357345227154
26,60.0,-1.0,0.8898349261511729,0.8935708079930494,0.7238053866203301,0.7796698523023458,0.787141615986099,0.4476107732406603,0.06547344086161942,0.05305056830406405,0.06547344086161942,0.17819715849701603,0.18770203292833681,0.6015707310756297
27,60.0,0.0,0.8898349261511729,0.8935708079930494,0.7238053866203301,0.8898349261511729,0.8935708079930494,0.7238053866203301,0.06547344086161942,0.05305056830406405,0.06547344086161942,0.17819715849701603,0.18770203292833681,0.6015707310756297
28,70.0,-10.0,0.8840139009556907,0.8930495221546482,0.7204170286707212,0.5201563857515203,0.6187662901824499,0.1929626411815812,0.04566392977494939,0.030909328193504455,0.04566392977494939,0.22307585740790242,0.2227784963172214,0.6404178686299615
29,70.0,-5.0,0.888010425716768,0.8935708079930494,0.7246741963509991,0.6536924413553432,0.69748045178106,0.3270199826238054,0.05066517724090612,0.03723109836813805,0.05066517724090612,0.205373526384591,0.21184661111488268,0.6220357345227154
30,70.0,-1.0,0.8898349261511729,0.8933970460469156,0.7238053866203301,0.7796698523023458,0.7867940920938314,0.4476107732406603,0.06547344086161942,0.053501349001629485,0.06547344086161942,0.17819715849701603,0.18744175662036885,0.6015707310756297
31,70.0,0.0,0.8898349261511729,0.8933970460469156,0.7238053866203301,0.8898349261511729,0.8933970460469156,0.7238053866203301,0.06547344086161942,0.053501349001629485,0.06547344086161942,0.17819715849701603,0.18744175662036885,0.6015707310756297
32,80.0,-10.0,0.8840139009556907,0.8933970460469156,0.7204170286707212,0.5201563857515203,0.6225890529973935,0.1929626411815812,0.04566392977494939,0.030348562741138778,0.04566392977494939,0.22307585740790242,0.2228254688895861,0.6404178686299615
33,80.0,-5.0,0.888010425716768,0.8935708079930494,0.7246741963509991,0.6536924413553432,0.69748045178106,0.3270199826238054,0.05066517724090612,0.037235003578262836,0.05066517724090612,0.205373526384591,0.21185479654539438,0.6220357345227154
34,80.0,-1.0,0.8898349261511729,0.8934839270199826,0.7238053866203301,0.7796698523023458,0.7869678540399653,0.4476107732406603,0.06547344086161942,0.053945465283683415,0.06547344086161942,0.17819715849701603,0.18662472750926679,0.6015707310756297
35,80.0,0.0,0.8898349261511729,0.8934839270199826,0.7238053866203301,0.8898349261511729,0.8934839270199826,0.7238053866203301,0.06547344086161942,0.053945465283683415,0.06547344086161942,0.17819715849701603,0.18662472750926679,0.6015707310756297
36,90.0,-10.0,0.8840139009556907,0.8930495221546482,0.7204170286707212,0.5201563857515203,0.6195482189400521,0.1929626411815812,0.04566392977494939,0.030772675029967993,0.04566392977494939,0.22307585740790242,0.22302294954098884,0.6404178686299615
37,90.0,-5.0,0.888010425716768,0.8936576889661163,0.7246741963509991,0.6536924413553432,0.6980017376194614,0.3270199826238054,0.05066517724090612,0.03710147672893439,0.05066517724090612,0.205373526384591,0.21183524808569515,0.6220357345227154
38,90.0,-1.0,0.8898349261511729,0.8930495221546482,0.7238053866203301,0.7796698523023458,0.7860990443092963,0.4476107732406603,0.06547344086161942,0.05436246868393124,0.06547344086161942,0.17819715849701603,0.18704574692577902,0.6015707310756297
39,90.0,0.0,0.8898349261511729,0.8930495221546482,0.7238053866203301,0.8898349261511729,0.8930495221546482,0.7238053866203301,0.06547344086161942,0.05436246868393124,0.06547344086161942,0.17819715849701603,0.18704574692577902,0.6015707310756297
